source_id,source_name,abbreviation,tier,category,owner,jurisdiction,publisher_type,reliability_score,authority_score,accuracy_score,recency_score,completeness_score,transparency_score,accessibility_score,geographic_relevance_score,methodology_score,update_frequency,preferred_for,license,citation_required,validation_method,evidence_required,archive_required,versioning_required,reliability_level,official_website,download_url,api_available,api_endpoint,dataset_type,data_format,authentication_required,scraping_allowed,license_url,source_status,last_verified,next_review,citation_template,contact_email,documentation_url,version,created_date,modified_date,remarks,notes
SRC-0011,Survey of India,SOI,Tier A,GisSatelliteImageryRemoteSensing|AdministrativePoliticalWardBoundaries,Government,National,National Mapping Authority,7,9,9,3,10,6,6,6,7,Unknown,"Topographic maps, geodetic reference, administrative boundaries",Restricted,Yes,Ground-truth spot-check against known landmarks; topology check,Yes,Yes,Yes,Preferred,https://www.surveyofindia.gov.in,,Unknown,,Geospatial,,Unknown,Unknown,,Active,,,SOI. ({year}). {dataset title}. Survey of India. https://www.surveyofindia.gov.in.,,,,,,"Verification tier: high-confidence, not independently re-verified this session.",
SRC-0012,"Office of the Registrar General & Census Commissioner, India (Census of India)",Census of India / RGCCI,Tier A,Demographics|CensusBlocks,Government,National,Statistical Agency,7,9,9,3,10,6,6,6,7,Unknown,"Population counts by ward/locality, age structure, household size, literacy, migration, enumeration block boundaries",GODL-India,Yes,Cross-check ward-level totals against NMC administrative counts; boundary-to-ward containment check,Yes,Yes,Yes,Preferred,https://censusindia.gov.in,,Yes,,Statistical/Demographic,,Unknown,Unknown,https://www.data.gov.in/Godl,Active,,,"Census of India / RGCCI. ({year}). {dataset title}. Office of the Registrar General & Census Commissioner, India (Census of India). https://censusindia.gov.in.",,,,,,"Verification tier: high-confidence, not independently re-verified this session.","Explicitly assigned SRC-0012 in Sec.7 example, Sec.6 dataset metadata (DS-0001), Sec.8.5 citation, and Sec.20.3/20.4/20.7. Reliability score of 88/100 is the only explicit source-level score given in the document (Sec.20.7)."
SRC-0013,India Meteorological Department,IMD,Tier A,Climate,Government,National,National Weather Authority,7.8,9,9,9,10,6,6,6,7,Real-time,"Rainfall, temperature trends, extreme-event frequency",GODL-India,Yes,Station-metadata verification,Yes,Yes,Yes,Preferred,https://mausam.imd.gov.in,,Yes,,Environmental/Scientific,,Unknown,Unknown,https://www.data.gov.in/Godl,Active,,,IMD. ({year}). {dataset title}. India Meteorological Department. https://mausam.imd.gov.in.,,,,,,"Verification tier: high-confidence, not independently re-verified this session.",
SRC-0014,"Directorate of Economics and Statistics, Maharashtra",DES,Tier A,Demographics|Economy|Employment,Government,State,Statistical Agency,7.4,9,9,6,9.2,6,6,7,7,Annual,"Economic indicators, GSDP, employment by sector, unemployment rate",,Yes,Cross-source comparison with MIDC/MADC industrial data; cross-check against Census/economic survey figures,Yes,Yes,Yes,Preferred,https://mahades.maharashtra.gov.in,,Unknown,,Statistical/Demographic,,Unknown,Unknown,,Active,,,"DES. ({year}). {dataset title}. Directorate of Economics and Statistics, Maharashtra. https://mahades.maharashtra.gov.in.",,,,,,"Verification tier: high-confidence, not independently re-verified this session.",
SRC-0015,Smart City Nagpur,,Tier A,WalkabilityCyclingParking|FutureInfrastructureMasterPlansSmartCityProjects,Municipal,Nagpur,Project Implementation Body,6.5,7,6,7,8.3,3,4,10,7,Quarterly,"Smart City Mission projects, urban tech initiatives",,Yes,Field-survey cross-check where available; status re-verified each research cycle,Yes,Yes,Yes,Preferred,,,Unknown,,Administrative/Infrastructure,,Unknown,Unknown,,Active,,,Smart City Nagpur. ({year}). {dataset title}. Smart City Nagpur. [URL unverified].,,,,,,Verification tier: unverified - recommend manual verification.,Special Purpose Vehicle under NMC.
SRC-0016,Central Railway (Nagpur Division),,Tier A,PublicTransportMetroAirportRailwaysHighwaysBusNetwork,Government,Regional,Railway Authority,7.4,8,8,6,9.2,6,6,9,7,Annual,"Railway station data, rail network",,Yes,Coordinate validation against official route maps,Yes,Yes,Yes,Preferred,https://centralrailway.indianrailways.gov.in,,Unknown,,Infrastructure/Operational,,Unknown,Unknown,,Active,,,Central Railway (Nagpur Division). ({year}). {dataset title}. Central Railway (Nagpur Division). https://centralrailway.indianrailways.gov.in.,,,,,,"Verification tier: high-confidence, not independently re-verified this session.",Listed as Indian Railways/Central Railway in Sec.4.29.
SRC-0017,National Highways Authority of India,NHAI,Tier A,Transportation|MobilityTraffic|PublicTransportMetroAirportRailwaysHighwaysBusNetwork,Government,National,Public Corporation,7.5,8,8,9,10,6,6,6,7,Real-time,"National highway alignment, ring road status, traffic volume counts",GODL-India,Yes,Spatial validation against OSM road network; temporal consistency (peak/off-peak sanity checks),Yes,Yes,Yes,Preferred,https://nhai.gov.in,,Yes,,Administrative/Operational,,Unknown,Unknown,https://www.data.gov.in/Godl,Active,,,NHAI. ({year}). {dataset title}. National Highways Authority of India. https://nhai.gov.in.,,,,,,"Verification tier: high-confidence, not independently re-verified this session.",
SRC-0018,"Public Works Department, Maharashtra",PWD,Tier A,Infrastructure,Government,State,Government Department,7.2,8,8,6,9.2,6,6,7,7,Annual,"Roads, water supply lines, public facilities",,Yes,Haversine-based coordinate proximity checks; locality_id foreign key integrity checks,Yes,Yes,Yes,Preferred,https://pwd.maharashtra.gov.in,,Unknown,,Administrative/Regulatory,,Unknown,Unknown,,Active,,,"PWD. ({year}). {dataset title}. Public Works Department, Maharashtra. https://pwd.maharashtra.gov.in.",,,,,,"Verification tier: high-confidence, not independently re-verified this session.",
SRC-0019,Reserve Bank of India,RBI,Tier A,Economy,Government,National,Central Bank,7.3,9,9,6,9.2,6,6,6,7,Annual,"Regional economic data, GDP/GSDP contribution",,Yes,Cross-source comparison with MIDC/MADC industrial data,Yes,Yes,Yes,Preferred,https://www.rbi.org.in,,Unknown,,Financial/Statistical,,Unknown,Unknown,,Active,,,RBI. ({year}). {dataset title}. Reserve Bank of India. https://www.rbi.org.in.,,,,,,"Verification tier: high-confidence, not independently re-verified this session.",Regional data referenced in Sec.4.5.
SRC-0020,"National Health Mission, Maharashtra",NHM,Tier A,Healthcare,Government,State,Government Department,7.2,8,8,6,9.2,6,6,7,7,Annual,"Hospital/PHC/clinic locations, bed capacity, specialty coverage",,Yes,Coordinate validation; deduplication against multiple listing sources,Yes,Yes,Yes,Preferred,https://nhm.maharashtra.gov.in,,Unknown,,Administrative/Regulatory,,Unknown,Unknown,,Active,,,"NHM. ({year}). {dataset title}. National Health Mission, Maharashtra. https://nhm.maharashtra.gov.in.",,,,,,"Verification tier: high-confidence, not independently re-verified this session.",
SRC-0021,"Directorate of Health Services, Maharashtra",DHS,Tier A,Healthcare,Government,State,Government Department,7.2,8,8,6,9.2,6,6,7,7,Annual,"Hospital/PHC/clinic locations, bed capacity, specialty coverage",,Yes,Coordinate validation; deduplication against multiple listing sources,Yes,Yes,Yes,Preferred,https://arogya.maharashtra.gov.in,,Unknown,,Administrative/Regulatory,,Unknown,Unknown,,Active,,,"DHS. ({year}). {dataset title}. Directorate of Health Services, Maharashtra. https://arogya.maharashtra.gov.in.",,,,,,"Verification tier: high-confidence, not independently re-verified this session.",
SRC-0022,Unified District Information System for Education,UDISE+,Tier A,Education,Government,National,Statistical Agency,7.4,9,9,6,10,6,6,6,7,Annual,"School/college locations, enrollment, affiliation boards",GODL-India,Yes,Coordinate + affiliation cross-check,Yes,Yes,Yes,Preferred,https://udiseplus.gov.in,,Yes,,Statistical/Demographic,,Unknown,Unknown,https://www.data.gov.in/Godl,Active,,,UDISE+. ({year}). {dataset title}. Unified District Information System for Education. https://udiseplus.gov.in.,,,,,,"Verification tier: high-confidence, not independently re-verified this session.",
SRC-0023,Maharashtra State Board,,Tier A,Education,Government,State,Government Department,7.2,8,8,6,9.2,6,6,7,7,Annual,"School/college locations, enrollment, affiliation boards",,Yes,Coordinate + affiliation cross-check,Yes,Yes,Yes,Preferred,https://mahahsscboard.in,,Unknown,,Administrative/Regulatory,,Unknown,Unknown,,Active,,,Maharashtra State Board. ({year}). {dataset title}. Maharashtra State Board. https://mahahsscboard.in.,,,,,,"Verification tier: high-confidence, not independently re-verified this session.",Referred to as Maharashtra State Board records in Sec.4.9.
SRC-0024,Maharashtra Jeevan Pradhikaran,MJP,Tier A,WaterSupply,Government,State,Public Corporation,7.2,8,8,6,9.2,6,6,7,7,Annual,"Supply network coverage, treatment plant capacity, connection counts",,Yes,Coverage polygon vs. locality boundary overlay,Yes,Yes,Yes,Preferred,https://www.mjp.maharashtra.gov.in,,Unknown,,Administrative/Operational,,Unknown,Unknown,,Active,,,MJP. ({year}). {dataset title}. Maharashtra Jeevan Pradhikaran. https://www.mjp.maharashtra.gov.in.,,,,,,"Verification tier: high-confidence, not independently re-verified this session.",
SRC-0025,Department of Telecommunications,DoT,Tier A,TelecommunicationsDigitalInfrastructure,Government,National,Government Department,7.1,8,8,6,10,6,6,6,7,Annual,"Tower locations, broadband/fiber coverage",GODL-India,Yes,Coverage-claim cross-check against independent speed-test aggregates,Yes,Yes,Yes,Preferred,https://dot.gov.in,,Yes,,Administrative/Regulatory,,Unknown,Unknown,https://www.data.gov.in/Godl,Active,,,DoT. ({year}). {dataset title}. Department of Telecommunications. https://dot.gov.in.,,,,,,"Verification tier: high-confidence, not independently re-verified this session.",
SRC-0026,Telecom Regulatory Authority of India,TRAI,Tier A,TelecommunicationsDigitalInfrastructure,Government,National,Regulatory Agency,7.4,9,9,6,10,6,6,6,7,Annual,Mobile network quality reports,GODL-India,Yes,Coverage-claim cross-check against independent speed-test aggregates,Yes,Yes,Yes,Preferred,https://www.trai.gov.in,,Yes,,Statistical/Regulatory,,Unknown,Unknown,https://www.data.gov.in/Godl,Active,,,TRAI. ({year}). {dataset title}. Telecom Regulatory Authority of India. https://www.trai.gov.in.,,,,,,"Verification tier: high-confidence, not independently re-verified this session.",
SRC-0027,National Crime Records Bureau,NCRB,Tier A,PublicSafetyEmergencyServices|Crime,Government,National,Statistical Agency,7.4,9,9,6,10,6,6,6,7,Annual,Crime statistics (aggregated by jurisdiction),GODL-India,Yes,Jurisdiction boundary cross-check; jurisdiction-to-locality mapping validation,Yes,Yes,Yes,Preferred,https://ncrb.gov.in,,Yes,,Statistical/Demographic,,Unknown,Unknown,https://www.data.gov.in/Godl,Active,,,NCRB. ({year}). {dataset title}. National Crime Records Bureau. https://ncrb.gov.in.,,,,,,"Verification tier: high-confidence, not independently re-verified this session.",
SRC-0028,Maharashtra Land Records Department (Bhulekh/Mahabhumi),Bhulekh/Mahabhumi,Tier A,LandUseLandRecords,Government,State,Government Department,7.9,8,8,9,10,8,6,7,7,Real-time,"Land use maps, 7/12 extracts, property tax records",Restricted,Yes,Polygon-boundary cross-check against DP maps,Yes,Yes,Yes,Preferred,https://mahabhumi.gov.in,,Unknown,,Administrative/Regulatory,,Yes,Unknown,,Active,2026-07-15,2027-01-15,Bhulekh/Mahabhumi. ({year}). {dataset title}. Maharashtra Land Records Department (Bhulekh/Mahabhumi). https://mahabhumi.gov.in.,,,,,,Verification tier: web-verified 2026-07-15.,
SRC-0029,Ministry of Corporate Affairs,MCA,Tier A,CommercialActivity,Government,National,Government Department,7.1,8,8,6,10,6,6,6,7,Annual,Registered business density,GODL-India,Yes,Pin-code-to-locality mapping verification,Yes,Yes,Yes,Preferred,https://www.mca.gov.in,,Yes,,Administrative/Regulatory,,Unknown,Unknown,https://www.data.gov.in/Godl,Active,,,MCA. ({year}). {dataset title}. Ministry of Corporate Affairs. https://www.mca.gov.in.,,,,,,"Verification tier: high-confidence, not independently re-verified this session.",
SRC-0030,GST Network,GSTN,Tier A,CommercialActivity,Government,National,Statutory Body,7,8,8,6,9.2,6,6,6,7,Annual,GST registrations by pin code (aggregate/public disclosures only),,Yes,Pin-code-to-locality mapping verification,Yes,Yes,Yes,Preferred,https://www.gst.gov.in,,Unknown,,Transactional/Financial,,Unknown,Unknown,,Active,,,GSTN. ({year}). {dataset title}. GST Network. https://www.gst.gov.in.,,,,,,"Verification tier: high-confidence, not independently re-verified this session.",
SRC-0031,Archaeological Survey of India,ASI,Tier A,TourismHeritage,Government,National,Government Department,6.8,8,8,3,10,6,6,6,7,Unknown,"Heritage site listings, protected monument boundaries",GODL-India,Yes,Boundary/coordinate cross-check,Yes,Yes,Yes,Preferred,https://asi.nic.in,,Yes,,Administrative/Regulatory,,Unknown,Unknown,https://www.data.gov.in/Godl,Active,,,ASI. ({year}). {dataset title}. Archaeological Survey of India. https://asi.nic.in.,,,,,,"Verification tier: high-confidence, not independently re-verified this session.",
SRC-0032,Maharashtra Tourism Development Corporation,MTDC,Tier A,TourismHeritage|Culture,Government,State,Public Corporation,7.2,8,8,6,9.2,6,6,7,7,Annual,"Tourist footfall, cultural institutions, event calendars",,Yes,Boundary/coordinate cross-check; manual review,Yes,Yes,Yes,Preferred,https://maharashtratourism.gov.in,,Unknown,,Administrative/Operational,,Unknown,Unknown,,Active,,,MTDC. ({year}). {dataset title}. Maharashtra Tourism Development Corporation. https://maharashtratourism.gov.in.,,,,,,"Verification tier: high-confidence, not independently re-verified this session.",
SRC-0033,Periodic Labour Force Survey,PLFS,Tier A,Employment,Government,National,Statistical Agency,7.4,9,9,6,10,6,6,6,7,Annual,"Sector-wise employment figures, unemployment rate",GODL-India,Yes,Cross-check against Census/economic survey figures,Yes,Yes,Yes,Preferred,https://www.mospi.gov.in,,Yes,,Statistical/Demographic,,Unknown,Unknown,https://www.data.gov.in/Godl,Active,,,PLFS. ({year}). {dataset title}. Periodic Labour Force Survey. https://www.mospi.gov.in.,,,,,,"Verification tier: high-confidence, not independently re-verified this session.",
SRC-0034,Bhuvan (ISRO),ISRO Bhuvan,Tier A,GisSatelliteImageryRemoteSensing,Government,National,Research Institution,7.4,9,9,3,10,6,9,6,7,Unknown,"Satellite raster imagery, land-cover classification, elevation models",GODL-India,Yes,Ground-truth spot-check against known landmarks,Yes,Yes,Yes,Preferred,https://bhuvan.nrsc.gov.in,,Yes,,Geospatial/Remote Sensing,,Unknown,Unknown,https://www.data.gov.in/Godl,Active,,,ISRO Bhuvan. ({year}). {dataset title}. Bhuvan (ISRO). https://bhuvan.nrsc.gov.in.,,,,,,"Verification tier: high-confidence, not independently re-verified this session.",
SRC-0035,Election Commission of India,ECI,Tier A,AdministrativePoliticalWardBoundaries,Government,National,Constitutional Body,7,9,9,3,10,6,6,6,7,Unknown,Constituency boundaries,GODL-India,Yes,Topology check (no gaps/overlaps); authoritative boundary reconciliation,Yes,Yes,Yes,Preferred,https://www.eci.gov.in,,Yes,,Administrative/Electoral,,Unknown,Unknown,https://www.data.gov.in/Godl,Active,,,ECI. ({year}). {dataset title}. Election Commission of India. https://www.eci.gov.in.,,,,,,"Verification tier: high-confidence, not independently re-verified this session.",
SRC-0036,Maharashtra State Disaster Management Authority,MSDMA,Tier A,FloodRisk|DisasterManagement,Government,State,Government Department,6.3,8,7,6,8.3,3,4,7,7,Annual,"Flood-prone zone maps, hazard zone maps, emergency shelter locations",,Yes,Cross-check against elevation and drainage data; coordinate and boundary validation,Yes,Yes,Yes,Preferred,,,Unknown,,Administrative/Regulatory,,Unknown,Unknown,,Active,,,MSDMA. ({year}). {dataset title}. Maharashtra State Disaster Management Authority. [URL unverified].,,,,,,Verification tier: unverified - recommend manual verification.,
SRC-0037,Maharashtra State Cultural Department,,Tier A,Culture,Government,State,Government Department,6.3,8,7,6,8.3,3,4,7,7,Annual,"Cultural institutions, event calendars",,Yes,Manual review,Yes,Yes,Yes,Preferred,,,Unknown,,Administrative/Regulatory,,Unknown,Unknown,,Active,,,Maharashtra State Cultural Department. ({year}). {dataset title}. Maharashtra State Cultural Department. [URL unverified].,,,,,,Verification tier: unverified - recommend manual verification.,Referred to generically as state cultural department in Sec.4.22.
SRC-0038,Sentinel (Copernicus Programme),Sentinel,Tier A,GisSatelliteImageryRemoteSensing,Government,International,Research Institution,7.1,9,9,3,10,6,9,4,7,Unknown,"Satellite raster imagery, land-cover classification",CC-BY (Copernicus Open Access),Yes,Ground-truth spot-check against known landmarks,Yes,Yes,Yes,Preferred,https://www.copernicus.eu,,Yes,,Geospatial/Remote Sensing,,Unknown,Unknown,,Active,,,Sentinel. ({year}). {dataset title}. Sentinel (Copernicus Programme). https://www.copernicus.eu.,,,,,,"Verification tier: high-confidence, not independently re-verified this session.",Listed in Sec.4.25 as Sentinel/Landsat (public domain).
SRC-0039,Landsat,,Tier A,GisSatelliteImageryRemoteSensing,Government,International,Research Institution,7.1,9,9,3,10,6,9,4,7,Unknown,"Satellite raster imagery, land-cover classification, elevation models",Public Domain (USGS),Yes,Ground-truth spot-check against known landmarks,Yes,Yes,Yes,Preferred,https://landsat.gsfc.nasa.gov,,Yes,,Geospatial/Remote Sensing,,Unknown,Unknown,,Active,,,Landsat. ({year}). {dataset title}. Landsat. https://landsat.gsfc.nasa.gov.,,,,,,"Verification tier: high-confidence, not independently re-verified this session.",Listed in Sec.4.25 as Sentinel/Landsat (public domain).
SRC-0040,Maharashtra Ready Reckoner,,Tier A,RealEstate,Government,State,Government Publication,7.5,8,8,6,10,8,6,7,7,Annual,"Ready reckoner rates, price benchmarks",Restricted,Yes,Temporal consistency check (no negative growth artifacts from bad joins),Yes,Yes,Yes,Preferred,https://igrmaharashtra.gov.in,,Unknown,,Transactional/Administrative,,Unknown,Unknown,,Active,2026-07-15,2027-01-15,Maharashtra Ready Reckoner. ({year}). {dataset title}. Maharashtra Ready Reckoner. https://igrmaharashtra.gov.in.,,,,,,Verification tier: web-verified 2026-07-15.,Published under IGR Maharashtra (SRC-0005) authority; registered as a distinct row per explicit task instruction even though Sec.4.4 lists it as a typical dataset rather than a standalone organization.
SRC-1000,World Bank,,Tier B,UrbanPlanning,Research Institute,International,International Organization,6.8,8,8,6,9.2,6,9,4,4,Annual,"Benchmarks, models, comparative urban analysis",CC-BY 4.0,Yes,,Yes,Yes,Yes,Preferred,https://data.worldbank.org,,Yes,,Statistical/Urban,,Unknown,Unknown,,Active,,,World Bank. ({year}). {dataset title}. World Bank. https://data.worldbank.org.,,,,,,"Verification tier: high-confidence, not independently re-verified this session.",Named example of a Tier B international organization in Sec.3.
SRC-1001,UN-Habitat,,Tier B,UrbanPlanning,Research Institute,International,International Organization,6.5,8,8,5,8.3,6,9,4,4,Irregular,"Benchmarks, models, comparative urban analysis",,Yes,,Yes,Yes,Yes,Preferred,https://unhabitat.org,,Unknown,,Statistical/Urban,,Unknown,Unknown,,Active,,,UN-Habitat. ({year}). {dataset title}. UN-Habitat. https://unhabitat.org.,,,,,,"Verification tier: high-confidence, not independently re-verified this session.",Named example of a Tier B international organization in Sec.3.
SRC-2000,CREDAI,,Tier C,RealEstate,Industry,National,Industry Association,5.8,6,6,5,9.2,6,3,6,5,Irregular,"Transaction volumes, price indices (market-facing figures)",Restricted,Yes,,Yes,Yes,Yes,Cross-Validate,https://credai.org,,Unknown,,Commercial Research,,Unknown,Unknown,,Active,,,CREDAI. ({year}). {dataset title}. CREDAI. https://credai.org.,,,,,,"Verification tier: high-confidence, not independently re-verified this session.","Tier C example in Sec.3; always cross-validated against Tier A/B where possible, and never used alone for a headline claim."
SRC-2001,Knight Frank,,Tier C,RealEstate,Industry,National,Industry (Commercial Research),6,6,6,7,9.2,6,3,6,5,Quarterly,"Transaction volumes, price indices",Restricted,Yes,,Yes,Yes,Yes,Cross-Validate,https://www.knightfrank.co.in,,Unknown,,Commercial Research,,Unknown,Unknown,,Active,,,Knight Frank. ({year}). {dataset title}. Knight Frank. https://www.knightfrank.co.in.,,,,,,"Verification tier: high-confidence, not independently re-verified this session.",Tier C example in Sec.3.
SRC-2002,JLL,,Tier C,RealEstate,Industry,National,Industry (Commercial Research),6,6,6,7,9.2,6,3,6,5,Quarterly,"Transaction volumes, price indices",Restricted,Yes,,Yes,Yes,Yes,Cross-Validate,https://www.jll.co.in,,Unknown,,Commercial Research,,Unknown,Unknown,,Active,,,JLL. ({year}). {dataset title}. JLL. https://www.jll.co.in.,,,,,,"Verification tier: high-confidence, not independently re-verified this session.",Tier C example in Sec.3.
